&##&promotion.look_at_the_gift&##&,&##&查看赠品&##&
&##&promotion.agent_recruitment&##&,&##&代理商招募&##&
&##&promotion.reserved_source_format&##&,&##&保留源格式&##&
&##&promotion.small&##&,&##&小&##&
&##&promotion.the_status_of_the_file_includes_the_following_types&##&,&##&文件状态具体包括以下几种类型&##&
&##&promotion.deleting_hyperlinks&##&,&##&删除超链接&##&
&##&promotion.the_lowest_input_value_of_the_selected_commodity_is_too_large&##&,&##&选中商品最低价输入值太大&##&
&##&promotion.method_can_get_the_plain_text_content_of_the_editor_with_the_format&##&,&##&方法可以获得编辑器的带格式的纯文本内容&##&
&##&promotion.effective_discounts_must_be_filled_in&##&,&##&必须填写有效折扣&##&
&##&promotion.unrestricted&##&,&##&不限制&##&
&##&promotion.please_enter_the_correct_length_or_width_value&##&,&##&请输入正确的长度或者宽度值&##&
&##&promotion.whether_or_not_the_main_product_group&##&,&##&是否为主品组&##&
&##&promotion.dont&##&,&##&不要&##&
&##&promotion.purchase_order&##&,&##&限购订单&##&
&##&promotion.upper_limit&##&,&##&上限&##&
&##&promotion.the_cover_and_other_documents_build_the_base_block&##&,&##&封面以及其他文档构建基块&##&
&##&promotion.image_loading_failure&##&,&##&图片加载失败&##&
&##&promotion.source_object&##&,&##&源对象的&##&
&##&promotion.activity_inventory_can_not_be_empty&##&,&##&活动库存量不能为空&##&
&##&promotion.association_bar_code&##&,&##&关联条码&##&
&##&promotion.redeem_code&##&,&##&兑换码&##&
&##&promotion.verification_failure&##&,&##&验证失败&##&
&##&promotion.single_state&##&,&##&免单状态&##&
&##&promotion.the_special_price_is_not_greater_than_the_original_price&##&,&##&特价不能大于原价&##&
&##&promotion.can_be_crazy&##&,&##&可以尽情的狂&##&
&##&promotion.jiangxi&##&,&##&江西&##&
&##&promotion.automatic_typesetting&##&,&##&自动排版&##&
&##&promotion.refunds&##&,&##&退款成功&##&
&##&promotion.eliminate&##&,&##&清除&##&
&##&promotion.add_the_background&##&,&##&添加背景&##&
&##&promotion.fixed_amount_voucher&##&,&##&固定金额券&##&
&##&promotion.ordered_list&##&,&##&有序列表&##&
&##&promotion.additional_goods&##&,&##&追加商品&##&
&##&promotion.copy_the_selected_content&##&,&##&复制选中内容&##&
&##&promotion.activity_indicates_that_the_length_of_the_content_exceeds_the_maximum_limit_of_the_system&##&,&##&活动说明内容长度超出系统最大限制长度&##&
&##&promotion.state&##&,&##&状态&##&
&##&promotion.provide&##&,&##&提供&##&
&##&promotion.is_it_exclusive_to_him&##&,&##&是否排他&##&
&##&promotion.participate_in_goods&##&,&##&参与商品&##&
&##&promotion.open_source_based_on&##&,&##&开源基于&##&
&##&promotion.selected_goods&##&,&##&选中的商品&##&
&##&promotion.duration_of_use&##&,&##&使用期限&##&
&##&promotion.the_name_of_the_price&##&,&##&砍价名称&##&
&##&promotion.new_label&##&,&##&新建标签&##&
&##&promotion.use_baidu_search&##&,&##&百度一下&##&
&##&promotion.setting_activity_rules&##&,&##&设置活动规则&##&
&##&promotion.type_of_commodity_group&##&,&##&商品组类型&##&
&##&promotion.current&##&,&##&当前&##&
&##&promotion.select_a_picture&##&,&##&选择图片&##&
&##&promotion.close&##&,&##&关闭&##&
&##&promotion.pieces_can_be_formed_into_a_regiment&##&,&##&件可成团&##&
&##&promotion.next&##&,&##&下一个&##&
&##&promotion.coupon_activities&##&,&##&优惠券活动&##&
&##&promotion.bargain&##&,&##&砍价&##&
&##&promotion.return_freight&##&,&##&是否退运费&##&
&##&promotion.what&##&,&##&什么&##&
&##&promotion.start&##&,&##&开始&##&
&##&promotion.upper_limit_of_the_number_of_users_daily_prizes&##&,&##&用户每日抽奖次数上限&##&
&##&promotion.please_note_that&##&,&##&请注意&##&
&##&promotion.activity_priority_can_not_be_empty&##&,&##&活动优先级不能为空&##&
&##&promotion.after_the_application_is_completed,_please&##&,&##&申请完成之后请至&##&
&##&promotion.middle_alignment&##&,&##&居中对齐&##&
&##&promotion.start_uploading&##&,&##&开始上传&##&
&##&promotion.pull_the_flowers&##&,&##&扯花&##&
&##&promotion.granting_objects&##&,&##&发放对象&##&
&##&promotion.the_activity_instructions_must_be_filled_in&##&,&##&活动说明必须填写&##&
&##&promotion.e-mail&##&,&##&电子邮件&##&
&##&promotion.total_amount_of_distribution&##&,&##&发行总量&##&
&##&promotion.xinjiang&##&,&##&新疆&##&
&##&promotion.category_restriction&##&,&##&类目选择&##&
&##&promotion.contain&##&,&##&包含&##&
&##&promotion.its_from_baidu&##&,&##&是由百度&##&
&##&promotion.mail_form&##&,&##&包邮方式&##&
&##&promotion.please_choose_channels&##&,&##&请选择渠道&##&
&##&promotion.method_can_get_the_content_of_the_editor&##&,&##&方法可以获得编辑器的内容&##&
&##&promotion.the_notes_should_be_limited_to&##&,&##&备注应限制在&##&
&##&promotion.the_input_of_the_deposit_is_mistaken&##&,&##&定金输入有误&##&
&##&promotion.photo&##&,&##&张照片&##&
&##&promotion.a_unit_of_temperature&##&,&##&温度的单位&##&
&##&promotion.two_decimal&##&,&##&两位小数&##&
&##&promotion.bit_integer&##&,&##&位整数&##&
&##&promotion.not_so&##&,&##&也不行&##&
&##&promotion.handstand&##&,&##&倒立&##&
&##&promotion.settings_to_participate_in_the_range_of_goods&##&,&##&设置参与商品范围&##&
&##&promotion.commodity_number_dimension&##&,&##&商品件数维度&##&
&##&promotion.data_unit&##&,&##&数据单位&##&
&##&promotion.exchange_time&##&,&##&兑换时间&##&
&##&promotion.the_retail_price_reduction_is_not_greater_than_the_original_price&##&,&##&零售减价不能大于原价&##&
&##&promotion.the_number_of_lottery_tickets_can_not_be_empty&##&,&##&抽奖次数不能为空&##&
&##&promotion.jiangsu&##&,&##&江苏&##&
&##&promotion.division_level&##&,&##&分佣层级&##&
&##&promotion.the_promotion_rules_should_be_limited_to&##&,&##&促销规则应限制在&##&
&##&promotion.the_price_of_the_cheapest_commodity_on_the_platform_is&##&,&##&件中平台价最便宜的商品价格为&##&
&##&promotion.add_promotional_product&##&,&##&添加促销产品&##&
&##&promotion.cell_properties&##&,&##&单元格属性&##&
&##&promotion.preferential_ladder&##&,&##&优惠阶梯&##&
&##&promotion.get_some_soy_sauce&##&,&##&打酱油&##&
&##&promotion.new_mutual_exclusion&##&,&##&新增互斥&##&
&##&promotion.page&##&,&##&页&##&
&##&promotion.quantity_of_active_goods&##&,&##&活动商品数量&##&
&##&promotion.whether_to_confirm_the_termination_of_the_activity&##&,&##&是否确认终止该活动&##&
&##&promotion.please_click_the_select&##&,&##&请点击选择&##&
&##&promotion.delete_table&##&,&##&删除表格&##&
&##&promotion.export_goods_to_be_set_up_for_settlement_price&##&,&##&导出待设置结算价商品&##&
&##&promotion.continue_to_set_up&##&,&##&继续设置&##&
&##&promotion.promotion_price&##&,&##&促销价&##&
&##&promotion.great_surprise&##&,&##&大惊&##&
&##&promotion.customizable&##&,&##&可定制&##&
&##&promotion.the_number_of_active_commodities_must_be_positive_integers&##&,&##&活动商品数量必须为正整数&##&
&##&promotion.details_of_promotional_activities&##&,&##&促销活动详情&##&
&##&promotion.giggle&##&,&##&傻笑&##&
&##&promotion.element_path&##&,&##&元素路径&##&
&##&promotion.the_recommended_gift_sales_area_should_be_consistent_with_the_added_promotional_items.&##&,&##&建议选择的赠品销售区要和已添加的促销商品保持一致&##&
&##&promotion.single_order_limit_voucher_number&##&,&##&单个订单限用券数&##&
&##&promotion.look_at_the_goods&##&,&##&查看商品&##&
&##&promotion.promotion_of_commodity_selection&##&,&##&促销商品选择&##&
&##&promotion.coupon_center&##&,&##&优惠券中心&##&
&##&promotion.the_category_of_prizes_can_not_be_empty&##&,&##&奖品类别不能为空&##&
&##&promotion.hierarchy&##&,&##&层级&##&
&##&promotion.fixed_head&##&,&##&固定头部&##&
&##&promotion.obtaining_plain_text_with_formatting&##&,&##&获得带格式的纯文本&##&
&##&promotion.the_purchase_price_should_be_the_most&##&,&##&换购价格应为最多&##&
&##&promotion.student_ticket&##&,&##&生券&##&
&##&promotion.one-on-one&##&,&##&一对一&##&
&##&promotion.add_a_background_picture&##&,&##&添加背景图片&##&
&##&promotion.the_collage_price_can_not_be_empty&##&,&##&拼团价不能为空&##&
&##&promotion.the_upload_function_will_not_be_used_normally&##&,&##&上传功能将不能正常使用&##&
&##&promotion.burn_incense&##&,&##&烧香&##&
&##&promotion.related_promotion&##&,&##&关联促销&##&
&##&promotion.the_number_of_individual_purchases_must_not_be_greater_than_the_total_number_of_purchases&##&,&##&个人限购数不能大于总限购数&##&
&##&promotion.delete_table_title_columns&##&,&##&删除表格标题列&##&
&##&promotion.whether_or_not_to_exclude_coupons_must_be_chosen&##&,&##&是否排斥优惠券必须选择&##&
&##&promotion.continue_to_add_full_promotion&##&,&##&继续添加满额促销活动&##&
&##&promotion.diagrams_or_diagrams_will_also_be_compatible_with_the_current_document_appearance&##&,&##&图表或关系图也将与当前的文档外观协调一致&##&
&##&promotion.total&##&,&##&合计&##&
&##&promotion.inner_mongolia&##&,&##&内蒙古&##&
&##&promotion.notes&##&,&##&注&##&
&##&promotion.mutex_name&##&,&##&互斥商品名称&##&
&##&promotion.coercion&##&,&##&强制成团&##&
&##&promotion.the_validity_period_of_coupons_can_not_be_empty&##&,&##&优惠券有效期不能为空&##&
&##&promotion.single_daily_limit&##&,&##&单每日限购数&##&
&##&promotion.priority&##&,&##&优先级&##&
&##&promotion.flow_time&##&,&##&流水时间&##&
&##&promotion.issuing_user_cell_phone_number&##&,&##&发放用户手机号&##&
&##&promotion.greater_than_equal_to_or_equal_to&##&,&##&大于等于&##&
&##&promotion.product_restriction&##&,&##&产品限制&##&
&##&promotion.the_upper_limit_of_the_number_of_users_daily_prizes_must_be_positive_integers&##&,&##&用户每日抽奖次数上限必须为正整数&##&
&##&promotion.main_commodity_group&##&,&##&主商品组&##&
&##&promotion.key_into_the_major&##&,&##&键入所学专业&##&
&##&promotion.importing_goods_from_files&##&,&##&从文件导入商品&##&
&##&promotion.city,_province&##&,&##&词穷省城市&##&
&##&promotion.the_rules_must_be_complete&##&,&##&规则必须填写完整&##&
&##&promotion.custom_start_time_input_is_incorrect&##&,&##&自定义开始时间输入有误&##&
&##&promotion.the_collage_list_has_not_reached_the_number_of_people.&##&,&##&该拼团单未达到成团人数&##&
&##&promotion.an_active_platform_must_be_selected&##&,&##&必须选择活动平台&##&
&##&promotion.preferential_setting_should_be_the_most&##&,&##&优惠设置应为最多&##&
&##&promotion.the_selected_commodities_amount_payable_input_error&##&,&##&选中商品补差金额输入有误&##&
&##&promotion.right_floating&##&,&##&右浮动&##&
&##&promotion.open_the_mouth_and_show_the_teeth&##&,&##&呲牙&##&
&##&promotion.sahua&##&,&##&撒花&##&
&##&promotion.the_starting_price_of_the_selected_goods_is_too_big&##&,&##&选中商品起始价太大&##&
&##&promotion.emptying_color&##&,&##&清空颜色&##&
&##&promotion.determine_the_coupon_to_be_abandoned&##&,&##&确定要作废选择的优惠券吗&##&
&##&promotion.new_brand&##&,&##&新增品牌&##&
&##&promotion.what_is&##&,&##&什么是&##&
&##&promotion.add_participation&##&,&##&添加参与&##&
&##&promotion.it_has_become_one_of_the_most_influential_consumer_festivals_throughout_china_and_in_the_world&##&,&##&已经成为全中国乃至全世界范围内最具影响力的消费节日之一&##&
&##&promotion.query_criteria&##&,&##&查询条件&##&
&##&promotion.cake&##&,&##&蛋糕&##&
&##&promotion.the_delivery_time_should_not_be_less_than_the_start_time_of_the_end_payment&##&,&##&发货时间不能小于尾款支付开始时间&##&
&##&promotion.if_it_does_not_come_into_force&##&,&##&如不生效&##&
&##&promotion.celebrate&##&,&##&庆祝&##&
&##&promotion.please_choose_the_goods_to_be_deleted&##&,&##&请选择要删除的商品&##&
&##&promotion.additional_registration_goods&##&,&##&追加报名商品&##&
&##&promotion.number_of_winners&##&,&##&中奖人数&##&
&##&promotion.the_starting_time_of_the_payment_of_the_deposit_can_not_be_empty&##&,&##&定金支付开始时间不能为空&##&
&##&promotion.the_use_of_coupon_conditions_for_consumers_to_be_used&##&,&##&供消费者领取后满足优惠券条件时使用&##&
&##&promotion.the_start_time_of_query_update_cannot_be_greater_than_the_end_time&##&,&##&查询更新开始时间不能大于结束时间&##&
&##&promotion.peeping&##&,&##&偷窥&##&
&##&promotion.baidu_map_custom_tool&##&,&##&百度地图自定义工具&##&
&##&promotion.the_pre-sale&##&,&##&预售&##&
&##&promotion.only_support&##&,&##&仅支持&##&
&##&promotion.the_selected_coupons_cant_be_abandoned&##&,&##&选择的优惠券都不能作废&##&
&##&promotion.within_the_character&##&,&##&字符以内&##&
&##&promotion.voucher_success&##&,&##&生券成功&##&
&##&promotion.next_step&##&,&##&下一步&##&
&##&promotion.activity_type&##&,&##&活动类型&##&
&##&promotion.please_try_to_upgrade&##&,&##&请尝试升级&##&
&##&promotion.the_choice_of_goods_can_not_be_empty&##&,&##&商品选择方式不能为空&##&
&##&promotion.commodity_stock&##&,&##&商品库存&##&
&##&promotion.quarter&##&,&##&季度&##&
&##&promotion.please_enter_a_positive_number_and_enter_a_maximum_of_two_decimal_numbers&##&,&##&请输入正数且最多输入两位小数&##&
&##&promotion.do_you_want_to_check_and_approve&##&,&##&确定要审核通过吗&##&
&##&promotion.a_single_number_of_restrictions&##&,&##&免单人数限制在&##&
&##&promotion.information_details&##&,&##&信息详情&##&
&##&promotion.load_all_the_stores&##&,&##&加载全部商家&##&
&##&promotion.collage_price_setting_error&##&,&##&拼团价格设置错误&##&
&##&promotion.single_maximum_exemption&##&,&##&单笔最高免单金额&##&
&##&promotion.have_been_cancelled&##&,&##&已取消&##&
&##&promotion.complete&##&,&##&完成&##&
&##&promotion.order_quantity&##&,&##&订单量的&##&
&##&promotion.only_self_-_operated&##&,&##&仅自营&##&
&##&promotion.whether_to_confirm_the_release_of_the_activity&##&,&##&是否确认发布该活动&##&
&##&promotion.delete_the_table_title_line&##&,&##&删除表格标题行&##&
&##&promotion.starting_at_most_input&##&,&##&砍价起始最多输入&##&
&##&promotion.additional_content&##&,&##&追加内容&##&
&##&promotion.completely_split_cell&##&,&##&完全拆分单元格&##&
&##&promotion.transversal_repetition&##&,&##&横向重复&##&
&##&promotion.please_choose_the_goods_to_be_set_up&##&,&##&请选择需要设置的商品&##&
&##&promotion.new_business&##&,&##&新增商家&##&
&##&promotion.the_participants_must_be_selected&##&,&##&必须选择参与对象&##&
&##&promotion.please_choose_a_store_that_needs_to_be_deleted&##&,&##&请选择需要删除的商家&##&
&##&promotion.purchase&##&,&##&购买&##&
&##&promotion.crazy&##&,&##&抓狂&##&
&##&promotion.special_input_is_wrong&##&,&##&特价输入有误&##&
&##&promotion.new_purchase&##&,&##&新增换购&##&
&##&promotion.prize_category&##&,&##&奖品类别&##&
&##&promotion.distribution_model&##&,&##&分销模式&##&
&##&promotion.inadequacy_of_parameters&##&,&##&参数不足&##&
&##&promotion.details_of_price_cutting_activities&##&,&##&砍价活动详情&##&
&##&promotion.every_wednesday&##&,&##&每周三&##&
&##&promotion.self_voucher&##&,&##&自营券&##&
&##&promotion.after&##&,&##&后&##&
&##&promotion.mathematical_characters&##&,&##&数学字符&##&
&##&promotion.name_of_the_bargain&##&,&##&砍价活动名称&##&
&##&promotion.sales_promotion&##&,&##&促销活动&##&
&##&promotion.retail_sales_cant_be_larger_than_the_original_price&##&,&##&零售特价不能大于原价&##&
&##&promotion.package&##&,&##&套餐&##&
&##&promotion.anhui&##&,&##&安徽&##&
&##&promotion.total_number_of_activities&##&,&##&活动总限购数&##&
&##&promotion.do_you_delete_this_product&##&,&##&是否删除此商品&##&
&##&promotion.the_current_page_is_not_required_to_fill&##&,&##&当前页面存在必填项未填&##&
&##&promotion.whether_or_not_to_delete_the_picture&##&,&##&是否删除图片&##&
&##&promotion.continue_adding_a_package_discount&##&,&##&继续添加套餐优惠&##&
&##&promotion.the_result_of_judgment_is&##&,&##&判断结果为&##&
&##&promotion.the_number_of_vouchers_supported_by_an_order_share&##&,&##&表示一个订单分享后支持的领券个数&##&
&##&promotion.select&##&,&##&全选&##&
&##&promotion.hematemesis&##&,&##&吐血&##&
&##&promotion.store_area&##&,&##&店铺地区&##&
&##&promotion.correspondence&##&,&##&对应关系&##&
&##&promotion.uploading&##&,&##&正在上传&##&
&##&promotion.the_time_period_is_not_set_or_set_wrong&##&,&##&时间段未设置或设置有误&##&
&##&promotion.yao_month&##&,&##&月曜&##&
&##&promotion.the_cut-off_price_of_the_price_is_lower_than_the_activity_settlement_price&##&,&##&砍价截止价低于了活动结算价&##&
&##&promotion.whether_to_reset_the_rules_of_profit&##&,&##&是否重设分利规则&##&
&##&promotion.rose&##&,&##&玫瑰&##&
&##&promotion.flying_dance&##&,&##&飞天舞&##&
&##&promotion.right_alignment&##&,&##&右对齐&##&
&##&promotion.the_limit_of_the_number_of_whole_net_gifts_must_be_a_positive_integer&##&,&##&全网赠品数限制必须为正整数&##&
&##&promotion.eye_poking&##&,&##&戳眼&##&
&##&promotion.the_end_time_of_the_sale_will_not_be_empty&##&,&##&销售生效结束时间不能为空&##&
&##&promotion.cancellation&##&,&##&取消中&##&
&##&promotion.clear_the_air&##&,&##&清除空行&##&
&##&promotion.rules_must_fill_in_valid_numbers&##&,&##&规则必须填写有效数字&##&
&##&promotion.random_start_amount_cannot_be_used&##&,&##&随机开始金额不能为&##&
&##&promotion.no_winning_note_can_not_be_empty&##&,&##&未中奖说明不能为空&##&
&##&promotion.the_new_price_of_the_selected_commodity_is_incorrectly_entered&##&,&##&选中商品新售价输入有误&##&
&##&promotion.total_activity_limit_purchase&##&,&##&活动限购总数&##&
&##&promotion.the_total_amount_of_issuance_should_be_limited_to&##&,&##&发行总量应限制在&##&
&##&promotion.the_same_is_not_the_same.&##&,&##&主赠相同不能为空&##&
&##&promotion.title&##&,&##&标题&##&
&##&promotion.product_category&##&,&##&产品类目&##&
&##&promotion.hold_up&##&,&##&套牢&##&
&##&promotion.the_type_of_gift_can_not_be_empty&##&,&##&赠品类型不能为空&##&
&##&promotion.table_style&##&,&##&表格样式&##&
&##&promotion.preferential_description&##&,&##&优惠说明&##&
&##&promotion.enrolment_type&##&,&##&报名活动类型&##&
&##&promotion.activity_priority_should_be_limited_to&##&,&##&活动优先级应限制在&##&
&##&promotion.failure_record_number&##&,&##&失败记录数&##&
&##&promotion.add_coupons&##&,&##&添加优惠券&##&
&##&promotion.type_of_store&##&,&##&商家类型&##&
&##&promotion.single_maximum_optional&##&,&##&单次最多可选&##&
&##&promotion.current_courtesy_card&##&,&##&当前生效的礼金卡卡种&##&
&##&promotion.to_void&##&,&##&作废&##&
&##&promotion.whether_or_not_to_exclude_coupons&##&,&##&是否排斥优惠券&##&
&##&promotion.search_for_songs&##&,&##&搜索歌曲&##&
&##&promotion.region&##&,&##&地区&##&
&##&promotion.ladder_price_dimension&##&,&##&阶梯价维度&##&
&##&promotion.combined_promotion&##&,&##&组合促销&##&
&##&promotion.subtitle&##&,&##&子标题&##&
&##&promotion.spot&##&,&##&点&##&
&##&promotion.self-made_goods&##&,&##&自营商品&##&
&##&promotion.the_membership_card_can_not_be_empty&##&,&##&会员卡种不能为空&##&
&##&promotion.upload_number_limit&##&,&##&上传个数限制&##&
&##&promotion.the_start_time_and_the_end_time_cannot_be_empty&##&,&##&开始时间和结束时间不能为空&##&
&##&promotion.unable_to_locate_to_this_address&##&,&##&无法定位到该地址&##&
&##&promotion.advance_sale_promotion&##&,&##&预售促销&##&
&##&promotion.data_quantity&##&,&##&数据量&##&
&##&promotion.the_validity_period_of_coupons_must_be_positive_integers&##&,&##&优惠券有效期必须为正整数&##&
&##&promotion.continue_to_add_a_single_activity&##&,&##&继续添加免单活动&##&
&##&promotion.do_you_want_to_get_rid_of_this_coupon&##&,&##&确定要作废此优惠券吗&##&
&##&promotion.a_look_at_the_list&##&,&##&来个列表瞅瞅&##&
&##&promotion.the_number_of_personal_limits_should_be_limited_to&##&,&##&个人限领数应限制在&##&
&##&promotion.press&##&,&##&按&##&
&##&promotion.flowers&##&,&##&送花&##&
&##&promotion.have_been_abandoned&##&,&##&已作废&##&
&##&promotion.the_collage_single_number_must_be_a_positive_integer&##&,&##&拼团单号必须为正整数&##&
&##&promotion.package_promotion&##&,&##&套餐促销&##&
&##&promotion.shock&##&,&##&震荡&##&
&##&promotion.end_payment_end_time_input_is_incorrect&##&,&##&尾款支付结束时间输入有误&##&
&##&promotion.file_upload_failure&##&,&##&个文件上传失败&##&
&##&promotion.continuing_review&##&,&##&继续审核&##&
&##&promotion.delete_the_background&##&,&##&删除背景&##&
&##&promotion.a_picture_within.&##&,&##&以内的图片&##&
&##&promotion.continue_to_add_pre_sale_promotions&##&,&##&继续添加预售促销活动&##&
&##&promotion.zhejiang&##&,&##&浙江&##&
&##&promotion.have_a_good_pre_sale_environment&##&,&##&拥有良好的预售环境&##&
&##&promotion.to_start&##&,&##&待开始&##&
&##&promotion.preferential_label&##&,&##&优惠标签&##&
&##&promotion.the_number_in_the_range&##&,&##&范围内的数字&##&
&##&promotion.continue_to_add_price_activities&##&,&##&继续添加砍价活动&##&
&##&promotion.the_difference_between_the_end_time_of_the_activity_and_the_starting_time_of_the_activity_does_not_&##&,&##&活动结束时间与活动开始时间相差不超过&##&
&##&promotion.set_the_main_product_range&##&,&##&设置主品范围&##&
&##&promotion.the_scope_of_products&##&,&##&选品范围&##&
&##&promotion.the_price_of_the_package_should_be_less_than_the_retail_price&##&,&##&套餐价填应小于零售价&##&
&##&promotion.product_scope&##&,&##&产品范围&##&
&##&promotion.continue_to_add_collage_activities&##&,&##&继续添加拼团活动&##&
&##&promotion.third_party_account_type&##&,&##&第三方账号类型&##&
&##&promotion.vertigo&##&,&##&眩晕&##&
&##&promotion.the_use_threshold_of_coupons_is_less_than_the_vouchers_face_value&##&,&##&优惠券使用门槛小于优惠券面值&##&
&##&promotion.sales_must_be_less_than&##&,&##&销量必须小于&##&
&##&promotion.time_of_opening&##&,&##&开团时间&##&
&##&promotion.second&##&,&##&次&##&
&##&promotion.the_value_of_the_package_price_is_less_than_the_retail_price&##&,&##&套餐价填写的值要小于零售价&##&
&##&promotion.the_total_number_of_individual_purchases_can_not_be_empty&##&,&##&个人限购总数不能为空&##&
&##&promotion.the_success_of_the_second_killing&##&,&##&秒杀活动创建成功&##&
&##&promotion.buy_and_sell_promotions&##&,&##&换购促销活动&##&
&##&promotion.newly_added&##&,&##&新增&##&
&##&promotion.shear_selection&##&,&##&剪切选中内容&##&
&##&promotion.choice&##&,&##&选择&##&
&##&promotion.do_you_decide_to_delete_it&##&,&##&确定删除吗&##&
&##&promotion.the_amount_of_direct_drop_can_not_be_empty&##&,&##&直降金额不能为空&##&
&##&promotion.address&##&,&##&地址&##&
&##&promotion.create_a_success_of_a_collage&##&,&##&创建拼团活动成功&##&
&##&promotion.pasting_and_filtering&##&,&##&粘贴过滤&##&
&##&promotion.list&##&,&##&列表&##&
&##&promotion.day&##&,&##&天&##&
&##&promotion.create_promotion_activities&##&,&##&创建推广活动&##&
&##&promotion.belonged_activities&##&,&##&所属活动&##&
&##&promotion.cancel_the_release&##&,&##&取消发布&##&
&##&promotion.offline_prize&##&,&##&线下奖品&##&
&##&promotion.rule_start_time&##&,&##&规则开始时间&##&
&##&promotion.unrelated_bar_code&##&,&##&不关联条码&##&
&##&promotion.enter_the_singer&##&,&##&输入歌手&##&
&##&promotion.type_in_a_responsible_project&##&,&##&键入负责项目&##&
&##&promotion.a_mix_of_text_and_text&##&,&##&来个文字图文混排的&##&
&##&promotion.common_place&##&,&##&常用地点&##&
&##&promotion.jump_to&##&,&##&跳至&##&
&##&promotion.standard_color&##&,&##&标准颜色&##&
&##&promotion.order_time&##&,&##&下单时间&##&
&##&promotion.create_flash_sales_promotion&##&,&##&创建闪购促销活动&##&
&##&promotion.the_input_of_the_total_number_of_activities_is_incorrect&##&,&##&活动总限购数输入有误&##&
&##&promotion.registration_time&##&,&##&报名时间&##&
&##&promotion.people&##&,&##&人&##&
&##&promotion.new_collage&##&,&##&新建拼团活动&##&
&##&promotion.obtain_pure_text&##&,&##&获得纯文本&##&
&##&promotion.selected&##&,&##&已选&##&
&##&promotion.to_examine&##&,&##&审核&##&
&##&promotion.failure_to_modify_the_rule_state&##&,&##&修改规则状态失败&##&
&##&promotion.control_classification&##&,&##&控制分类&##&
&##&promotion.custom_end_time_cannot_be_empty&##&,&##&自定义结束时间不能为空&##&
&##&promotion.module.baseinfo.name&##&,&##&基本信息&##&
&##&promotion.select_the_template&##&,&##&选择模板&##&
&##&promotion.spit&##&,&##&吐痰&##&
&##&promotion.active_platform&##&,&##&活动平台&##&
&##&promotion.group_number&##&,&##&分组编号&##&
&##&promotion.buy_amount_to_give&##&,&##&满金额赠&##&
&##&promotion.setting_up_stock_early-warning_value&##&,&##&设置库存预警值成功&##&
&##&promotion.retry&##&,&##&后重试&##&
&##&promotion.you_can_enter_a_lot_of_content_here&##&,&##&这里可以输入很多内容&##&
&##&promotion.whether_or_not_to_post&##&,&##&是否包邮&##&
&##&promotion.the_type_of_lottery_behavior_cannot_be_empty&##&,&##&抽奖行为类型不能为空&##&
&##&promotion.please_choose_the_goods_to_be_deleted_first&##&,&##&请先选择要删除的商品&##&
&##&promotion.promotion_activities&##&,&##&推广活动&##&
&##&promotion.coupon_content&##&,&##&优惠券内容&##&
&##&promotion.do_you_confirm_that_the_product_is_deleted&##&,&##&是否确认删除此商品&##&
&##&promotion.frame&##&,&##&框&##&
&##&promotion.uploading_video&##&,&##&上传视频&##&
&##&promotion.injured&##&,&##&受伤&##&
&##&promotion.the_number_of_group_purchases_must_be_positive_integers&##&,&##&成团购买件数必须为正整数&##&
&##&promotion.i_play&##&,&##&我打&##&
&##&promotion.list_of_card_details&##&,&##&卡券明细列表&##&
&##&promotion.discoloration_of_tabular_interlacing&##&,&##&取消表格隔行变色&##&
&##&promotion.study_major&##&,&##&所学专业&##&
&##&promotion.a_valid_number_must_be_filled_in&##&,&##&必须填写有效数字&##&
&##&promotion.activity_registration&##&,&##&活动报名&##&
&##&promotion.the_cut-off_price_must_be_greater_than&##&,&##&砍价截止价必须大于&##&
&##&promotion.please_change_it_in_time&##&,&##&请及时更改&##&
&##&promotion.set_up&##&,&##&设置&##&
&##&promotion.city_of_sichuan_province&##&,&##&四川省城市&##&
&##&promotion.enable&##&,&##&启用&##&
&##&promotion.lateral_selection&##&,&##&横向选择&##&
&##&promotion.for_consumers_to_use_after_sale&##&,&##&售卖后供消费者使用&##&
&##&promotion.blue&##&,&##&蓝&##&
&##&promotion.cant_find_the_location&##&,&##&找不到该位置&##&
&##&promotion.channel_name&##&,&##&渠道名称&##&
&##&promotion.deposit_amount&##&,&##&定金金额&##&
&##&promotion.special_price_can_not_be_empty&##&,&##&特价不能为空&##&
&##&promotion.search_for_music_that_you_are_interested_in&##&,&##&搜索您感兴趣的音乐&##&
&##&promotion.entity_coupons&##&,&##&实体优惠券&##&
&##&promotion.export_the_parameter_goods_to_be_set_up&##&,&##&导出待设置参数商品&##&
&##&promotion.recommendation_code_use_limit&##&,&##&推荐码使用限制&##&
&##&promotion.slyder_adventures&##&,&##&大转盘&##&
&##&promotion.personal_daily_limit&##&,&##&个人每日限购数&##&
&##&promotion.enter_registration&##&,&##&进入报名&##&
&##&promotion.input_from_left_to_right&##&,&##&从左向右输入&##&
&##&promotion.group_management_list&##&,&##&开团管理列表&##&
&##&promotion.single_user_s_limit&##&,&##&单用户参团限制&##&
&##&promotion.load_all_the_goods&##&,&##&加载全部商品&##&
&##&promotion.insert_table&##&,&##&插入表格&##&
&##&promotion.the_success_of_full_volume_promotion&##&,&##&满量促销活动创建成功&##&
&##&promotion.link&##&,&##&链接&##&
&##&promotion.proxy_rank&##&,&##&代理等级&##&
&##&promotion.activity_upgrades&##&,&##&活动升级&##&
