&##&promotion.look_at_the_gift&##&,&##&look at the gift&##&
&##&promotion.the_end_time_must_be_greater_than_the_start_time&##&,&##&the end time must be greater than the start time&##&
&##&promotion.date_of_recommendation&##&,&##&date of recommendation&##&
&##&promotion.network_connection_error&##&,&##&network connection error&##&
&##&promotion.russian_character&##&,&##&russian character&##&
&##&promotion.registration_activities&##&,&##&registration activities&##&
&##&promotion.no_data_was_found&##&,&##&no data was found&##&
&##&promotion.consumers_and_businesses_all_over_the_world&##&,&##&consumers and businesses all over the world&##&
&##&promotion.rub_face&##&,&##&rub face&##&
&##&promotion.fire&##&,&##&fire&##&
&##&promotion.shift_enter&##&,&##&shift enter&##&
&##&promotion.import_success&##&,&##&import success&##&
&##&promotion.background&##&,&##&background&##&
&##&promotion.the_higher_the_value_is_the_highest_priority&##&,&##&the higher the value is the highest priority&##&
&##&promotion.pre_sale_type_can_not_be_empty&##&,&##&pre sale type can not be empty&##&
&##&promotion.order_has_been_received&##&,&##&order has been received&##&
&##&promotion.enter_the_title_of_the_resume_here&##&,&##&enter the title of the resume here&##&
&##&promotion.flashover_price_input_is_wrong&##&,&##&flashover price input is wrong&##&
&##&promotion.enrolment&##&,&##&enrolment&##&
&##&promotion.the_closing_time_of_the_registration_must_be_greater_than_the_start_of_the_activity&##&,&##&the closing time of the registration must be greater than the start of the activity&##&
&##&promotion.explosion_hit&##&,&##&explosion hit&##&
&##&promotion.post_promotion&##&,&##&post promotion&##&
&##&promotion.activity_recruitment&##&,&##&activity recruitment&##&
&##&promotion.already_used&##&,&##&already used&##&
&##&promotion.flash_purchase_of_commodity_picture_uploading_failure&##&,&##&flash purchase of commodity picture uploading failure&##&
&##&promotion.create_a_single_promotion&##&,&##&create a single promotion&##&
&##&promotion.the_following_goods_are_taking_part_in_the_same_type_of_promotion&##&,&##&the following goods are taking part in the same type of promotion&##&
&##&promotion.straight_down&##&,&##&straight down&##&
&##&promotion.platform_audit_failed_to_pass&##&,&##&platform audit failed to pass&##&
&##&promotion.superscript&##&,&##&superscript&##&
&##&promotion.use_a_semicolon_for_multiple_cell_phone_numbers&##&,&##&use a semicolon for multiple cell phone numbers&##&
&##&promotion.fractional_deposit&##&,&##&fractional deposit&##&
&##&promotion.batch_setup&##&,&##&batch setup&##&
&##&promotion.the_price_of_a_collage_is_a_positive_number_of_two_decimal_places&##&,&##&the price of a collage is a positive number of two decimal places&##&
&##&promotion.price_starting_price&##&,&##&price starting price&##&
&##&promotion.sigh&##&,&##&sigh&##&
&##&promotion.create_coupons&##&,&##&create coupons&##&
&##&promotion.first_level_payment_must_be_selected&##&,&##&first level payment must be selected&##&
&##&promotion.single_regiment&##&,&##&single regiment&##&
&##&promotion.source_of_activity&##&,&##&source of activity&##&
&##&promotion.got_it&##&,&##&got it&##&
&##&promotion.format&##&,&##&format&##&
&##&promotion.the_start_time_of_the_creation_time_is_not_greater_than_the_end_time&##&,&##&the start time of the creation time is not greater than the end time&##&
&##&promotion.head&##&,&##&head&##&
&##&promotion.single_discount_promotion&##&,&##&single discount promotion&##&
&##&promotion.default_closes_automatic_height&##&,&##&default closes automatic height&##&
&##&promotion.please_set_at_least_one_value_that_needs_to_be_set_up.&##&,&##&please set at least one value that needs to be set up.&##&
&##&promotion.membership_login_account&##&,&##&membership login account&##&
&##&promotion.the_amount_of_the_deposit_can_not_be_less_than_the_deposit.&##&,&##&the amount of the deposit can not be less than the deposit.&##&
&##&promotion.this_upload_is_skipped&##&,&##&this upload is skipped&##&
&##&promotion.calculated&##&,&##&calculated&##&
&##&promotion.the_validity_period_of_the_gift_card_should_be_limited_to&##&,&##&the validity period of the gift card should be limited to&##&
&##&promotion.title_of_prize&##&,&##&title of prize&##&
&##&promotion.rebate_value&##&,&##&rebate value&##&
&##&promotion.preprice_model&##&,&##&preprice model&##&
&##&promotion.lottery_ticket_inquiries&##&,&##&lottery ticket inquiries&##&
&##&promotion.creation_time&##&,&##&creation time&##&
&##&promotion.the_success_of_the_lottery&##&,&##&the success of the lottery&##&
&##&promotion.a_word&##&,&##&a word&##&
&##&promotion.pay&##&,&##&pay&##&
&##&promotion.swing&##&,&##&swing&##&
&##&promotion.select_goods_for_input_errors&##&,&##&select goods for input errors&##&
&##&promotion.the_face_value_of_the_gift_card_must_be_the_most&##&,&##&the face value of the gift card must be the most&##&
&##&promotion.center&##&,&##&center&##&
&##&promotion.the_random_cut-off_amount_can_not_be_empty&##&,&##&the random cut-off amount can not be empty&##&
&##&promotion.single_total_amount&##&,&##&single total amount&##&
&##&promotion.the_upper_limit_of_the_number_of_users_wont_be_empty.&##&,&##&the upper limit of the number of users wont be empty.&##&
&##&promotion.basketball&##&,&##&basketball&##&
&##&promotion.the_end_time_of_the_payment_of_the_deposit_can_not_be_empty&##&,&##&the end time of the payment of the deposit can not be empty&##&
&##&promotion.task_type&##&,&##&task type&##&
&##&promotion.voucher_type&##&,&##&voucher type&##&
&##&promotion.light_weight&##&,&##&light weight&##&
&##&promotion.default&##&,&##&default&##&
&##&promotion.angry&##&,&##&angry&##&
&##&promotion.preservation_of_promotional_parameters&##&,&##&preservation of promotional parameters&##&
&##&promotion.the_total_amount_of_distribution_must_be_a_positive_integer&##&,&##&the total amount of distribution must be a positive integer&##&
&##&promotion.mirror&##&,&##&mirror&##&
&##&promotion.package_mail&##&,&##&package mail&##&
&##&promotion.delete_combination&##&,&##&delete combination&##&
&##&promotion.the_input_value_of_personal_limit_purchase_number_is_too_large&##&,&##&the input value of personal limit purchase number is too large&##&
&##&promotion.will_it_be_confirmed_to_continue_submitting&##&,&##&will it be confirmed to continue submitting&##&
&##&promotion.month&##&,&##&month&##&
&##&promotion.successful_operation&##&,&##&successful operation&##&
&##&promotion.no_access_to_parameter_information&##&,&##&no access to parameter information&##&
&##&promotion.a_decimal&##&,&##&a decimal&##&
&##&promotion.microsoft_yahei&##&,&##&microsoft yahei&##&
&##&promotion.upload_plug-ins_cannot_be_used_normally&##&,&##&upload plug-ins cannot be used normally&##&
&##&promotion.merchant_name&##&,&##&merchant name&##&
&##&promotion.the_average_distribution_of_each_line&##&,&##&the average distribution of each line&##&
&##&promotion.hyperlink&##&,&##&hyperlink&##&
&##&promotion.add_to_the_merchant&##&,&##&add to the merchant&##&
&##&promotion.single_gift_selection_should_be_limited_in_number&##&,&##&single gift selection should be limited in number&##&
&##&promotion.homepage_of_coupons&##&,&##&homepage of coupons&##&
&##&promotion.border_shading&##&,&##&border shading&##&
&##&promotion.lucky&##&,&##&lucky&##&
&##&promotion.cancel&##&,&##&cancel&##&
&##&promotion.january&##&,&##&january&##&
&##&promotion.add_additional_goods&##&,&##&add additional goods&##&
&##&promotion.shake&##&,&##&shake&##&
&##&promotion.file&##&,&##&file&##&
&##&promotion.total_amount_of_order&##&,&##&total amount of order&##&
&##&promotion.add_commodity_pool_success&##&,&##&add commodity pool success&##&
&##&promotion.the_input_of_sale_price_reduction_is_incorrect&##&,&##&the input of sale price reduction is incorrect&##&
&##&promotion.the_gift_has_been_received&##&,&##&the gift has been received&##&
&##&promotion.warehouses_have_goods&##&,&##&warehouses have goods&##&
&##&promotion.height&##&,&##&height&##&
&##&promotion.participatory_approach&##&,&##&participatory approach&##&
&##&promotion.merge_empty_line&##&,&##&merge empty line&##&
&##&promotion.barcode&##&,&##&barcode&##&
&##&promotion.pay_favorable_promotions_to_create_success&##&,&##&pay favorable promotions to create success&##&
&##&promotion.submit_audit_success&##&,&##&submit audit success&##&
&##&promotion.may_cause_complaints_and_refunds&##&,&##&may cause complaints and refunds&##&
&##&promotion.employee_account_number&##&,&##&employee account number&##&
&##&promotion.the_use_condition_can_not_be_empty&##&,&##&the use condition can not be empty&##&
&##&promotion.the_system_will_automatically_switch_to&##&,&##&the system will automatically switch to&##&
&##&promotion.sleep&##&,&##&sleep&##&
&##&promotion.promotion&##&,&##&promotion&##&
&##&promotion.on_this_day&##&,&##&on this day&##&
&##&promotion.channel_of_payment&##&,&##&channel of payment&##&
&##&promotion.on_the_front_desk_the_more_the_order_is_ahead&##&,&##&on the front desk the more the order is ahead&##&
&##&promotion.nothing&##&,&##&nothing&##&
&##&promotion.song&##&,&##&song&##&
&##&promotion.add_the_front_and_back_slash_to_be_marked_as_a_regular_expression&##&,&##&add the front and back slash to be marked as a regular expression&##&
&##&promotion.multi_spell_master_graph&##&,&##&multi spell master graph&##&
&##&promotion.ritual_gold_card_center_new&##&,&##&ritual gold card center new&##&
&##&promotion.the_random_amount_of_the_coupon_can_not_be_empty&##&,&##&the random amount of the coupon can not be empty&##&
&##&promotion.expired&##&,&##&expired&##&
&##&promotion.end_time&##&,&##&end time&##&
&##&promotion.strike&##&,&##&strike&##&
&##&promotion.most_support_settings&##&,&##&most support settings&##&
&##&promotion.each_purchase_number_can_not_be_larger_than_the_total_number_of_purchase&##&,&##&each purchase number can not be larger than the total number of purchase&##&
&##&promotion.add_brand_restrictions&##&,&##&add brand restrictions&##&
&##&promotion.get_the_content_of_the_draft_box&##&,&##&get the content of the draft box&##&
&##&promotion.the_front_page_of_the_promotion_center&##&,&##&the front page of the promotion center&##&
&##&promotion.new_channel&##&,&##&new channel&##&
&##&promotion.face_value&##&,&##&face value&##&
&##&promotion.disable&##&,&##&disable&##&
&##&promotion.number_upper_limit&##&,&##&number upper limit&##&
&##&promotion.retain_the_original_content&##&,&##&retain the original content&##&
&##&promotion.add_promotional_gifts&##&,&##&add promotional gifts&##&
&##&promotion.revoke_the_last_operation&##&,&##&revoke the last operation&##&
&##&promotion.limit_collar_per_person&##&,&##&limit collar per person&##&
&##&promotion.the_settlement_price_can_not_be_empty&##&,&##&the settlement price can not be empty&##&
&##&promotion.four&##&,&##&four&##&
&##&promotion.can_have_a_list_and_so_on&##&,&##&can have a list and so on&##&
&##&promotion.rule_creation_success&##&,&##&rule creation success&##&
&##&promotion.the_upper_limit_of_a_users_daily_award_must_be_a_positive_integer&##&,&##&the upper limit of a users daily award must be a positive integer&##&
&##&promotion.greek_alphabet&##&,&##&greek alphabet&##&
&##&promotion.sales_special_input_is_wrong&##&,&##&sales special input is wrong&##&
&##&promotion.change_purchase_price_can_not_be_empty&##&,&##&change purchase price can not be empty&##&
&##&promotion.no_single_number_can_not_be_empty&##&,&##&no single number can not be empty&##&
&##&promotion.lottery_template&##&,&##&lottery template&##&
&##&promotion.the_coupon_node_cannot_be_empty&##&,&##&the coupon node cannot be empty&##&
&##&promotion.add_the_table_title_line&##&,&##&add the table title line&##&
&##&promotion.limit_in&##&,&##&limit in&##&
&##&promotion.serial_number&##&,&##&serial number&##&
&##&promotion.the_concession_label_can_not_be_empty&##&,&##&the concession label can not be empty&##&
&##&promotion.large_circle&##&,&##&large circle&##&
&##&promotion.colour&##&,&##&colour&##&
&##&promotion.already_paid&##&,&##&already paid&##&
&##&promotion.have_in_hand&##&,&##&have in hand&##&
&##&promotion.re_execution_of_the_last_operation&##&,&##&re execution of the last operation&##&
&##&promotion.im_coming.&##&,&##&im coming.&##&
&##&promotion.local_preservation_success&##&,&##&local preservation success&##&
&##&promotion.the_length_can_not_exceed&##&,&##&the length can not exceed&##&
&##&promotion.successful_registration&##&,&##&successful registration&##&
&##&promotion.deposit_in_advance&##&,&##&deposit in advance&##&
&##&promotion.cat&##&,&##&cat&##&
&##&promotion.the_number_of_single_order_limited_vouchers_can_not_be_empty&##&,&##&the number of single order limited vouchers can not be empty&##&
&##&promotion.receive_conditions&##&,&##&receive conditions&##&
&##&promotion.doubt&##&,&##&doubt&##&
&##&promotion.friday&##&,&##&friday&##&
&##&promotion.bubble&##&,&##&bubble&##&
&##&promotion.create_tailor_-_cut_activities&##&,&##&create tailor - cut activities&##&
&##&promotion.five_prize&##&,&##&five prize&##&
&##&promotion.lula&##&,&##&lula&##&
&##&promotion.display_editor&##&,&##&display editor&##&
&##&promotion.you_can_use_these_libraries_to_insert_the_table&##&,&##&you can use these libraries to insert the table&##&
&##&promotion.continue_to_add_flash_sales_promotion&##&,&##&continue to add flash sales promotion&##&
&##&promotion.the_active_platform_must_be_selected&##&,&##&the active platform must be selected&##&
&##&promotion.please_choose_the_goods_to_be_saved&##&,&##&please choose the goods to be saved&##&
&##&promotion.minimum_purchase_quantity&##&,&##&minimum purchase quantity&##&
&##&promotion.agent_registration&##&,&##&agent registration&##&
&##&promotion.sichuan_province&##&,&##&sichuan province&##&
&##&promotion.player&##&,&##&player&##&
&##&promotion.file_size_beyond&##&,&##&file size beyond&##&
&##&promotion.form&##&,&##&form&##&
&##&promotion.download&##&,&##&download&##&
&##&promotion.anchor&##&,&##&anchor&##&
&##&promotion.post_promotional_activities&##&,&##&post promotional activities&##&
&##&promotion.haggle&##&,&##&haggle&##&
&##&promotion.soil&##&,&##&soil&##&
&##&promotion.full_of_goods&##&,&##&full of goods&##&
&##&promotion.free_shipping&##&,&##&free shipping&##&
&##&promotion.affiliated_accounting_unit&##&,&##&affiliated accounting unit&##&
&##&promotion.the_preferential_amount_can_not_be_empty&##&,&##&the preferential amount can not be empty&##&
&##&promotion.mutex&##&,&##&mutex&##&
&##&promotion.two_development&##&,&##&two development&##&
&##&promotion.the_number_of_single_grants_must_be_positive_integers&##&,&##&the number of single grants must be positive integers&##&
&##&promotion.three&##&,&##&three&##&
&##&promotion.right_align&##&,&##&right align&##&
&##&promotion.single_activity_list&##&,&##&single activity list&##&
&##&promotion.consignee_cell_phone&##&,&##&consignee cell phone&##&
&##&promotion.emptying_results&##&,&##&emptying results&##&
&##&promotion.regular_expression&##&,&##&regular expression&##&
&##&promotion.membership_grade_must_be_selected&##&,&##&membership grade must be selected&##&
&##&promotion.success_in_buying_and_selling_promotions&##&,&##&success in buying and selling promotions&##&
&##&promotion.lookup&##&,&##&lookup&##&
&##&promotion.video_size&##&,&##&video size&##&
&##&promotion.the_number_of_raw_cards_should_not_be_larger_than_the_number_of_raw_cards&##&,&##&the number of raw cards should not be larger than the number of raw cards&##&
&##&promotion.the_amount_of_the_deposit_can_not_be_more_than_equal_to_the_pre_sale_price&##&,&##&the amount of the deposit can not be more than equal to the pre sale price&##&
&##&promotion.all_goods&##&,&##&all goods&##&
&##&promotion.number_of_prizes&##&,&##&number of prizes&##&
&##&promotion.coupon_time&##&,&##&coupon time&##&
&##&promotion.only_old_users&##&,&##&only old users&##&
&##&promotion.create_a_pre_sale_promotion&##&,&##&create a pre sale promotion&##&
&##&promotion.selection_of_membership_card&##&,&##&selection of membership card&##&
&##&promotion.sure_you_want_to_send_a_gift_card_number_information_card&##&,&##&sure you want to send a gift card number information card&##&
&##&promotion.magic&##&,&##&magic&##&
&##&promotion.regiment_state&##&,&##&regiment state&##&
&##&promotion.the_editor_loses_focus&##&,&##&the editor loses focus&##&
&##&promotion.no_repeatable_addition_of_selected_goods&##&,&##&no repeatable addition of selected goods&##&
&##&promotion.audit_status&##&,&##&audit status&##&
&##&promotion.the_activity_priority_must_be_a_positive_integer&##&,&##&the activity priority must be a positive integer&##&
&##&promotion.merge_multiple_cells&##&,&##&merge multiple cells&##&
&##&promotion.fire_yao&##&,&##&fire yao&##&
&##&promotion.the_amount_of_compensation&##&,&##&the amount of compensation&##&
&##&promotion.product_brand&##&,&##&product brand&##&
&##&promotion.scare_stiff&##&,&##&scare stiff&##&
&##&promotion.special_character&##&,&##&special character&##&
&##&promotion.view_the_list_of_activities&##&,&##&view the list of activities&##&
&##&promotion.a_maximum_of_two_decimal_digits&##&,&##&a maximum of two decimal digits&##&
&##&promotion.pre_insert_column&##&,&##&pre insert column&##&
&##&promotion.type_of_product_group&##&,&##&type of product group&##&
&##&promotion.multilevel_list&##&,&##&multilevel list&##&
&##&promotion.exemption_from_a_single_commission&##&,&##&exemption from a single commission&##&
&##&promotion.vendor_name&##&,&##&vendor name&##&
&##&promotion.promotional_voucher&##&,&##&promotional voucher&##&
&##&promotion.full_amount_change&##&,&##&full amount change&##&
&##&promotion.member_cell_phone&##&,&##&member cell phone&##&
&##&promotion.activity_end_time&##&,&##&activity end time&##&
&##&promotion.the_face_value_of_the_gift_card_must_be_the_positive_number_of_the_maximum_of_two_decimal_numbers&##&,&##&the face value of the gift card must be the positive number of the maximum of two decimal numbers&##&
&##&promotion.red_envelopes&##&,&##&red envelopes&##&
&##&promotion.to_set_up_promotional_parameters&##&,&##&to set up promotional parameters&##&
&##&promotion.card_import_list&##&,&##&card import list&##&
&##&promotion.description&##&,&##&description&##&
&##&promotion.click_the_switchable_selected_state&##&,&##&click the switchable selected state&##&
&##&promotion.arbitrarily&##&,&##&arbitrarily&##&
&##&promotion.have_not_received_a_gift&##&,&##&have not received a gift&##&
&##&promotion.business&##&,&##&business&##&
&##&promotion.new_single_activity_free_activities&##&,&##&new single activity free activities&##&
&##&promotion.upgrading_conditions&##&,&##&upgrading conditions&##&
&##&promotion.the_minimum_interval_of_the_random_amount_of_a_coupon_cannot_be_larger_than_the_maximum_interval&##&,&##&the minimum interval of the random amount of a coupon cannot be larger than the maximum interval&##&
&##&promotion.wait_for_uploading&##&,&##&wait for uploading&##&
&##&promotion.full_amount&##&,&##&full amount&##&
&##&promotion.add_a_store&##&,&##&add a store&##&
&##&promotion.the_server_returns_the_data_error&##&,&##&the server returns the data error&##&
&##&promotion.merchant_commodity_coding&##&,&##&merchant commodity coding&##&
&##&promotion.choose_participation&##&,&##&choose participation&##&
&##&promotion.the_group_time_limit_must_be_an_integer_hour_after_the_opening_of_the_group&##&,&##&the group time limit must be an integer hour after the opening of the group&##&
&##&promotion.prizes&##&,&##&prizes&##&
&##&promotion.and_the_rules_of_the_group_buying_activities&##&,&##&and the rules of the group buying activities&##&
&##&promotion.merchant_information_inquiry&##&,&##&merchant information inquiry&##&
&##&promotion.character_border&##&,&##&character border&##&
&##&promotion.price_management&##&,&##&price management&##&
&##&promotion.home_page&##&,&##&home page&##&
&##&promotion.is_it_sure_to_delete_the_store&##&,&##&is it sure to delete the store&##&
&##&promotion.no_voucher&##&,&##&no voucher&##&
&##&promotion.channel_description&##&,&##&channel description&##&
&##&promotion.axis_title&##&,&##&axis title&##&
&##&promotion.please_select_the_cycle&##&,&##&please select the cycle&##&
&##&promotion.a_list_of_coupons&##&,&##&a list of coupons&##&
&##&promotion.single_number_of_single_accounts_can_not_be_empty&##&,&##&single number of single accounts can not be empty&##&
&##&promotion.promotion_profile_histogram&##&,&##&promotion profile histogram&##&
&##&promotion.the_proposed_group_price_is_less_than_the_retail_price_of_goods&##&,&##&the proposed group price is less than the retail price of goods&##&
&##&promotion.pricing_classification&##&,&##&pricing classification&##&
&##&promotion.file_task_list&##&,&##&file task list&##&
&##&promotion.bye&##&,&##&bye&##&
&##&promotion.anger&##&,&##&anger&##&
&##&promotion.faint&##&,&##&faint&##&
&##&promotion.every_tuesday&##&,&##&every tuesday&##&
&##&promotion.set_discount&##&,&##&set discount&##&
&##&promotion.angel&##&,&##&angel&##&
&##&promotion.too_bad&##&,&##&too bad&##&
&##&promotion.coupon_denomination&##&,&##&coupon denomination&##&
&##&promotion.kuangding&##&,&##&kuangding&##&
&##&promotion.the_preferential_amount_must_be_less_than_the_preferential_terms&##&,&##&the preferential amount must be less than the preferential terms&##&
&##&promotion.partial_user&##&,&##&partial user&##&
&##&promotion.the_number_of_preferential_terms_is_wrong&##&,&##&the number of preferential terms is wrong&##&
&##&promotion.field.shop&##&,&##&store&##&
&##&promotion.enclosure&##&,&##&enclosure&##&
&##&promotion.big_change_of_body&##&,&##&big change of body&##&
&##&promotion.phonetic_alphabet&##&,&##&phonetic alphabet&##&
&##&promotion.type_of_lottery&##&,&##&type of lottery&##&
&##&promotion.full_volume_reduction&##&,&##&full volume reduction&##&
&##&promotion.baidu_application&##&,&##&baidu application&##&
&##&promotion.the_vouchers_face_value_cannot_be_empty&##&,&##&the vouchers face value cannot be empty&##&
&##&promotion.confirmation_of_submission&##&,&##&confirmation of submission&##&
&##&promotion.you_can_easily_change_the_format_of_the_selected_text_in_the_document&##&,&##&you can easily change the format of the selected text in the document&##&
&##&promotion.select_activity_label&##&,&##&select activity label&##&
&##&promotion.voucher_validity_period&##&,&##&voucher validity period&##&
&##&promotion.group_failure&##&,&##&group failure&##&
&##&promotion.discounts_cant_be_empty&##&,&##&discounts cant be empty&##&
&##&promotion.the_prefix_of_the_text_in_the_prompt_box&##&,&##&the prefix of the text in the prompt box&##&
&##&promotion.enter_the_start_and_stop_time&##&,&##&enter the start and stop time&##&
&##&promotion.total_number_of_imported_records&##&,&##&total number of imported records&##&
&##&promotion.money&##&,&##&money&##&
&##&promotion.in_a_group_of_groups&##&,&##&in a group of groups&##&
&##&promotion.the_total_number_of_individual_purchases_shall_be_limited_to&##&,&##&the total number of individual purchases shall be limited to&##&
&##&promotion.withdrawing_from_success&##&,&##&withdrawing from success&##&
&##&promotion.add_awards&##&,&##&add awards&##&
&##&promotion.continue_adding_trial_activities&##&,&##&continue adding trial activities&##&
&##&promotion.agent_recruitment_activities_by_setting_the_number_of_orders_of_the_order_or_the_threshold_of_the_a&##&,&##&agent recruitment activities by setting the number of orders of the order or the threshold of the a&##&
&##&promotion.sign_up&##&,&##&sign up&##&
&##&promotion.date,&##&,&##&date,&##&
&##&promotion.agent_upgrading_activities_by_setting_the_number_of_orders_of_the_order_or_the_threshold_of_the_amo&##&,&##&agent upgrading activities by setting the number of orders of the order or the threshold of the amo&##&
&##&promotion.decide_to_freeze_the_stock_of_the_goods&##&,&##&decide to freeze the stock of the goods&##&
&##&promotion.zoom_background&##&,&##&zoom background&##&
&##&promotion.send_in&##&,&##&send in&##&
&##&promotion.replace&##&,&##&replace&##&
&##&promotion.range_of_registration_items&##&,&##&range of registration items&##&
&##&promotion.lovely&##&,&##&lovely&##&
&##&promotion.add_activity_inventory&##&,&##&add activity inventory&##&
&##&promotion.pending_platform_audit&##&,&##&pending platform audit&##&
&##&promotion.card_time&##&,&##&card time&##&
&##&promotion.be_not&##&,&##&be not&##&
&##&promotion.add_goods_for_purchase&##&,&##&add goods for purchase&##&
&##&promotion.education&##&,&##&education&##&
&##&promotion.term_of_validity&##&,&##&term of validity&##&
&##&promotion.choose_a_shop&##&,&##&choose a shop&##&
&##&promotion.a_single_number_must_be_a_positive_integer&##&,&##&a single number must be a positive integer&##&
&##&promotion.shopping_cart_deleting&##&,&##&shopping cart deleting&##&
&##&promotion.sales_promotion_by_setting_the_quantity_threshold_of_the_order_commodity_or_the_threshold_of_the_or&##&,&##&sales promotion by setting the quantity threshold of the order commodity or the threshold of the or&##&
&##&promotion.lucky_draw&##&,&##&lucky draw&##&
&##&promotion.delicate_and_touching&##&,&##&delicate and touching&##&
&##&promotion.empty&##&,&##&empty&##&
&##&promotion.cut-off_price_maximum_input&##&,&##&cut-off price maximum input&##&
&##&promotion.buy_one_get_one_free&##&,&##&buy X unit get Y unit free&##&
&##&promotion.the_maximum_value_of_the_activity_priority_is&##&,&##&the maximum value of the activity priority is&##&
&##&promotion.buy&##&,&##&buy&##&
&##&promotion.selected_commodity_settings_input_is_incorrect&##&,&##&selected commodity settings input is incorrect&##&
&##&promotion.beat&##&,&##&beat&##&
&##&promotion.wave_classification&##&,&##&wave classification&##&
&##&promotion.but&##&,&##&but&##&
&##&promotion.promotion_rules&##&,&##&promotion rules&##&
&##&promotion.consignee_name&##&,&##&consignee name&##&
&##&promotion.retail&##&,&##&retail&##&
&##&promotion.card_success&##&,&##&card success&##&
&##&promotion.method_can_set_the_content_of_the_editor&##&,&##&method can set the content of the editor&##&
&##&promotion.add_participation_in_the_store&##&,&##&add participation in the store&##&
&##&promotion.information_hints&##&,&##&information hints&##&
&##&promotion.must_be_a_number&##&,&##&must be a number&##&
&##&promotion.total_limit_purchase&##&,&##&total limit purchase&##&
&##&promotion.supplier&##&,&##&supplier&##&
&##&promotion.one&##&,&##&one&##&
&##&promotion.the_limit_of_the_number_of_whole_network_gifts_should_be_limited_to&##&,&##&the limit of the number of whole network gifts should be limited to&##&
&##&promotion.this_will_be_the_period_selection_deleted&##&,&##&this will be the period selection deleted&##&
&##&promotion.continue_to_add_full_volume_promotions&##&,&##&continue to add full volume promotions&##&
&##&promotion.create_a_single_activity&##&,&##&create a single activity&##&
&##&promotion.operation_type&##&,&##&operation type&##&
&##&promotion.public_price&##&,&##&public price&##&
&##&promotion.stock_early-warning_value&##&,&##&stock early-warning value&##&
&##&promotion.delete_the_picture&##&,&##&delete the picture&##&
&##&promotion.tips&##&,&##&tips&##&
&##&promotion.select_the_input_of_the_starting_price_of_the_commodity&##&,&##&select the input of the starting price of the commodity&##&
&##&promotion.please_update&##&,&##&please update&##&
&##&promotion.full_cut&##&,&##&full cut&##&
&##&promotion.more&##&,&##&more&##&
&##&promotion.type_the_document_subtitle&##&,&##&type the document subtitle&##&
&##&promotion.other&##&,&##&other&##&
&##&promotion.new_type_of_card&##&,&##&new type of card&##&
&##&promotion.registration_record&##&,&##&registration record&##&
&##&promotion.insert_dynamic_map&##&,&##&insert dynamic map&##&
&##&promotion.whether_to_confirm_the_submission_audit&##&,&##&whether to confirm the submission audit&##&
&##&promotion.number_of_restrictions_on_individual_price_cuts&##&,&##&number of restrictions on individual price cuts&##&
&##&promotion.combination_sale_promotion&##&,&##&combination sale promotion&##&
&##&promotion.subscript&##&,&##&subscript&##&
&##&promotion.single_promotion&##&,&##&single promotion&##&
&##&promotion.agent_mode_can_not_be_empty&##&,&##&agent mode can not be empty&##&
&##&promotion.preferential_methods_include_full_amount_and_purchase_of_goods&##&,&##&preferential methods include full amount and purchase of goods&##&
&##&promotion.regiment_time&##&,&##&regiment time&##&
&##&promotion.please_enter_a_label_name&##&,&##&please enter a label name&##&
&##&promotion.this_operation_is_limited_to_only_one_user_at_the_same_time.&##&,&##&this operation is limited to only one user at the same time.&##&
&##&promotion.import_and_export_commodity&##&,&##&import and export commodity&##&
&##&promotion.details_of_promotion_activities&##&,&##&details of promotion activities&##&
&##&promotion.unpaid&##&,&##&unpaid&##&
&##&promotion.password_only_supports_chinese&##&,&##&password only supports chinese&##&
&##&promotion.network_picture&##&,&##&network picture&##&
&##&promotion.do_not_support_your_browser&##&,&##&do not support your browser&##&
&##&promotion.the_discount_must_be&##&,&##&the discount must be&##&
&##&promotion.the_price_spike_is_not_greater_than_the_original_price&##&,&##&the price spike is not greater than the original price&##&
&##&promotion.the_name_of_the_gift_card_should_be_limited_to&##&,&##&the name of the gift card should be limited to&##&
&##&promotion.activity_list&##&,&##&activity list&##&
&##&promotion.merge_to_the_left&##&,&##&merge to the left&##&
&##&promotion.self_user_claim&##&,&##&self user claim&##&
&##&promotion.guangdong&##&,&##&guangdong&##&
&##&promotion.type_the_job_name&##&,&##&type the job name&##&
&##&promotion.coupon_number&##&,&##&coupon number&##&
&##&promotion.delete_whole_column&##&,&##&delete whole column&##&
&##&promotion.chart_format&##&,&##&chart format&##&
&##&promotion.select_all&##&,&##&select all&##&
&##&promotion.old_user&##&,&##&old user&##&
&##&promotion.parameters_to_be_set&##&,&##&parameters to be set&##&
&##&promotion.paste&##&,&##&paste&##&
&##&promotion.original_price&##&,&##&original price&##&
&##&promotion.create_activity&##&,&##&create activity&##&
&##&promotion.added_coupons&##&,&##&added coupons&##&
&##&promotion.voucher_number_import_completion&##&,&##&voucher number import completion&##&
&##&promotion.rules_of_voucher_activities&##&,&##&rules of voucher activities&##&
&##&promotion.reset&##&,&##&reset&##&
&##&promotion.export_commodity_template&##&,&##&export commodity template&##&
&##&promotion.the_south_china_sea_islands&##&,&##&the south china sea islands&##&
&##&promotion.curriculum_vitae&##&,&##&curriculum vitae&##&
&##&promotion.the_current_coupons_are_being_carried_out&##&,&##&the current coupons are being carried out&##&
&##&promotion.load_from_a_draft_box&##&,&##&load from a draft box&##&
&##&promotion.name_of_registration_activity&##&,&##&name of registration activity&##&
&##&promotion.paging&##&,&##&paging&##&
